****************************A06 第 1 轮训练开始****************************
epoch: 90, train_Loss: 1.3872, train_acc: 0.2577
****************************A06 第 91 轮训练开始****************************
epoch: 91, train_Loss: 1.4065, train_acc: 0.2692
****************************A06 第 92 轮训练开始****************************
epoch: 92, train_Loss: 1.3046, train_acc: 0.2500
****************************A06 第 93 轮训练开始****************************
epoch: 93, train_Loss: 1.4054, train_acc: 0.2615
****************************A06 第 94 轮训练开始****************************
epoch: 94, train_Loss: 1.4578, train_acc: 0.2308
****************************A06 第 95 轮训练开始****************************
epoch: 95, train_Loss: 1.4014, train_acc: 0.2500
****************************A06 第 96 轮训练开始****************************
epoch: 96, train_Loss: 1.3882, train_acc: 0.2269
****************************A06 第 97 轮训练开始****************************
epoch: 97, train_Loss: 1.4022, train_acc: 0.2538
****************************A06 第 98 轮训练开始****************************
epoch: 98, train_Loss: 1.4962, train_acc: 0.2269
****************************A06 第 99 轮训练开始****************************
epoch: 99, train_Loss: 1.3870, train_acc: 0.2423
****************************A06 第 100 轮训练开始****************************
epoch: 100, train_Loss: 1.3481, train_acc: 0.2500
****************************A06 第 101 轮训练开始****************************
epoch: 101, train_Loss: 1.3301, train_acc: 0.2500
****************************A06 第 102 轮训练开始****************************
epoch: 102, train_Loss: 1.4840, train_acc: 0.2500
****************************A06 第 103 轮训练开始****************************
epoch: 103, train_Loss: 1.3964, train_acc: 0.2500
****************************A06 第 104 轮训练开始****************************
epoch: 104, train_Loss: 1.4374, train_acc: 0.2423
****************************A06 第 105 轮训练开始****************************
epoch: 105, train_Loss: 1.3452, train_acc: 0.2346
****************************A06 第 106 轮训练开始****************************
epoch: 106, train_Loss: 1.3913, train_acc: 0.2577
****************************A06 第 107 轮训练开始****************************
epoch: 107, train_Loss: 1.3661, train_acc: 0.2577
****************************A06 第 108 轮训练开始****************************
epoch: 108, train_Loss: 1.4094, train_acc: 0.2577
****************************A06 第 109 轮训练开始****************************
epoch: 109, train_Loss: 1.2894, train_acc: 0.2615
****************************A06 第 110 轮训练开始****************************
epoch: 110, train_Loss: 1.2948, train_acc: 0.2577
****************************A06 第 111 轮训练开始****************************
epoch: 111, train_Loss: 1.4664, train_acc: 0.2538
****************************A06 第 112 轮训练开始****************************
